name,ring,quadrant,isNew,status,description,owner,contributors,commits,stars,forks,open_rank,license
Small language models,Trial,Techniques,FALSE,no change,"<p>The recent announcement of <a href=""/radar/platforms/deepseek-r1"">DeepSeek R1</a> is a great example of why <strong>small language models</strong> (SLMs) continue to be interesting. The full-size R1 has 671 billion parameters and requires about 1,342 GB of VRAM in order to run, only achievable using a ""mini cluster"" of eight state-of-the-art NVIDIA GPUs. But <a href=""https://www.thoughtworks.com/en-ca/insights/blog/generative-ai/demystifying-deepseek"">DeepSeek</a> is also available <a href=""https://venturebeat.com/ai/deepseeks-r1-and-openais-deep-research-just-redefined-ai-rag-distillation-and-custom-models-will-never-be-the-same/"">""distilled""</a> into Qwen and Llama â€?smaller, open-weight models â€?effectively transferring its abilities and allowing it to be run on much more modest hardware. Though the model gives up some performance at those smaller sizes, it still allows a huge leap in performance over previous SLMs. The SLM space continues to innovate elsewhere, too. Since the last Radar, Meta introduced <a href=""https://ai.meta.com/blog/llama-3-2-connect-2024-vision-edge-mobile-devices/"">Llama 3.2</a> at 1B and 3B sizes, Microsoft released <a href=""https://techcommunity.microsoft.com/blog/aiplatformblog/introducing-phi-4-microsoft%E2%80%99s-newest-small-language-model-specializing-in-comple/4357090"">Phi-4</a>, offering high-quality results with a 14B model, and Google released <a href=""https://developers.googleblog.com/en/introducing-paligemma-2-mix/"">PaliGemma 2</a>, a vision-language model at 3B, 10B and 28B sizes. These are just a few of the models currently being released at smaller sizes and definitely an important trend to continue to watch.</p>",,,,,,,
Using GenAI to understand legacy codebases,Trial,Techniques,FALSE,no change,"<p>In the past few months, <strong>using GenAI to understand legacy codebases</strong> has made some real progress. Mainstream tools such as GitHub Copilot are being touted as <a href=""https://github.blog/ai-and-ml/github-copilot/modernizing-legacy-code-with-github-copilot-tips-and-examples/"">being able to help modernize legacy codebases</a>. Tools such as Sourcegraph's <a href=""https://sourcegraph.com/cody"">Cody</a> are making it easier for developers to navigate and understand entire codebases. These tools use a multitude of GenAI techniques to provide contextual help, simplifying work with complex legacy systems. On top of that, specialized frameworks like <a href=""https://arxiv.org/abs/2403.10588"">S3LLM</a> are showing how LLMs can handle large-scale scientific software â€?such as that written in Fortran or Pascal â€?bringing GenAI-enhanced understanding to codebases outside of traditional enterprise IT. We think this technique is going to continue to gain traction given the sheer amount of legacy software in the world.</p>",,,,,,,
AI-friendly code design,Assess,Techniques,TRUE,new,"<p>Supervised <a href=""/radar/techniques/software-engineering-agents"">software engineering agents</a> are increasingly capable of identifying necessary updates and making larger changes to a codebase. At the same time, we're seeing growing <a href=""/radar/techniques/complacency-with-ai-generated-code"">complacency with AI-generated code</a>, and developers becoming reluctant to review large AI-made change sets. A common justification for this is that human-oriented code quality matters less since AI can handle future modifications; however, AI coding assistants also perform better with well-factored codebases, making <strong>AI-friendly code design</strong> crucial for maintainability.</p>

<p>Fortunately, good software design for humans also benefits AI. Expressive naming provides domain context and functionality; modularity and abstractions keep AIâ€™s context manageable by limiting necessary changes; and the DRY (donâ€™t repeat yourself) principle reduces duplicate code â€?making it easier for AI to keep the behavior consistent. So far, the best AI-friendly patterns align with established best practices. As AI evolves, expect more AI-specific patterns to emerge, so thinking about code design with this in mind will be extremely helpful.</p>",,,,,,,
AI-powered UI testing,Assess,Techniques,TRUE,new,"<p>New techniques for AI-powered assistance on software teams are emerging beyond just code generation. One area gaining traction is <strong>AI-powered UI testing</strong>, leveraging LLMs' abilities to interpret graphical user interfaces. There are several approaches to this. One category of tools uses multi-modal LLMs fine-tuned for UI snapshot processing, allowing test scripts written in natural language to navigate an application. Examples in this space include <a href=""https://qa.tech/"">QA.tech</a> or <a href=""https://www.lambdatest.com/kane-ai"">LambdaTests' KaneAI</a>. Another approach, seen in <a href=""/radar/languages-and-frameworks/browser-use"">Browser Use</a>, combines multi-modal foundation models with <a href=""/radar/languages-and-frameworks/playwright"">Playwright</a>'s insights into a web page's structure rather than relying on fine-tuned models.</p>

<p>When integrating AI-powered UI tests into a test strategy, itâ€™s crucial to consider where they provide the most value. These methods can complement manual exploratory testing, and while the non-determinism of LLMs may introduce flakiness, their fuzziness can be an advantage. This could be useful for testing legacy applications with missing selectors or applications that frequently change labels and click paths.</p>",,,,,,,
Competence envelope as a model for understanding system failures,Assess,Techniques,TRUE,new,"<p><a href=""https://www.researchgate.net/publication/327427067_The_Theory_of_Graceful_Extensibility_Basic_rules_that_govern_adaptive_systems"">The theory of graceful extensibility</a> defines the basic rules governing adaptive systems, including the socio-technical systems involved in building and operating software. A key concept in this theory is the <strong>competence envelope</strong> â€?the boundary within which a system can function <em>robustly</em> in the face of failure. When a system is pushed beyond its competence envelope, it becomes brittle and is more likely to fail. This model provides a valuable lens for understanding system failure, as seen in the <a href=""https://surfingcomplexity.blog/2024/12/21/the-canva-outage-another-tale-of-saturation-and-resilience/"">complex failures</a> that led to the 2024 Canva outage. <a href=""https://www.sciencedirect.com/science/article/pii/S1877050920305585"">Residuality theory</a>, a recent development in software architecture thinking, offers a way to test a systemâ€™s competence envelope by deliberately introducing stressors and analyzing how the system has adapted to historical stressors over time. The approaches align with concepts of anti-fragility, resilience and robustness in socio-technical systems, and weâ€™re eager to see practical applications of these ideas emerge in the field.</p>",,,,,,,
Structured output from LLMs,Assess,Techniques,FALSE,stay,"<p><strong>Structured output from LLMs</strong> refers to the practice of constraining a language model's response into a defined schema. This can be achieved either by instructing a generalized model to respond in a particular format or by fine-tuning a model so it ""natively"" outputs, for example, JSON. OpenAI now supports structured output, allowing developers to supply a JSON Schema, <a href=""/radar/languages-and-frameworks/pydantic"">pydantic</a> or Zod object to constrain model responses. This capability is particularly valuable for enabling function calling, API interactions and external integrations, where accuracy and adherence to a format are critical. Structured output not only enhances the way LLMs can interface with code but also supports broader use cases like generating markup for rendering charts. Additionally, structured output has been shown to reduce the chance of hallucinations in model outputs.</p>",,,,,,,
AI-accelerated shadow IT,Hold,Techniques,TRUE,new,"<p>AI is lowering the barriers for noncoders to build and integrate software themselves, instead of waiting for the IT department to get around to their requirements. While weâ€™re excited about the potential this unlocks, weâ€™re also wary of the first signs of <strong>AI-accelerated shadow IT</strong>. No-code workflow automation platforms now support AI API integration (e.g., OpenAI or Anthropic), making it tempting to use AI as duct tape â€?stitching together integrations that previously werenâ€™t possible, such as turning chat messages in one system into ERP API calls via AI. At the same time, AI coding assistants are becoming more agentic, enabling noncoders with basic training to build internal utility applications.</p>

<p>This has all the hallmarks of the next evolution of the spreadsheets that still power critical processes in some enterprises â€?but with a much bigger footprint. Left unchecked, this new shadow IT could lead to a proliferation of ungoverned, potentially insecure applications, scattering data across more and more systems. Organizations should be aware of these risks and carefully weigh the trade-offs between rapid problem-solving and long-term stability.</p>",,,,,,,
Complacency with AI-generated code,Hold,Techniques,FALSE,no change,"<p>As AI coding assistants continue to gain traction, so does the growing body of data and research highlighting concerns about <strong>complacency with AI-generated code</strong>. GitClear's latest <a href=""https://www.gitclear.com/ai_assistant_code_quality_2025_research"">code quality research</a> shows that in 2024, duplicate code and code churn have increased even more than predicted, while refactoring activity in commit histories has declined. Also reflecting AI complacency, <a href=""https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking-self-reported-reductions-in-cognitive-effort-and-confidence-effects-from-a-survey-of-knowledge-workers/"">Microsoft research</a> on knowledge workers found that AI-driven confidence often comes at the expense of critical thinking â€?a pattern weâ€™ve observed as complacency sets in with prolonged use of coding assistants. The rise of supervised <a href=""/radar/techniques/software-engineering-agents"">software engineering agents</a> further amplifies the risks, because when AI generates larger and larger change sets, developers face greater challenges in reviewing results. The emergence of ""<a href=""https://arstechnica.com/ai/2025/03/is-vibe-coding-with-ai-gnarly-or-reckless-maybe-some-of-both/"">vibe coding</a>"" â€?where developers let AI generate code with minimal review â€?illustrates the growing trust of AI-generated outputs. While this approach can be appropriate for things like prototypes or other types of throw-away code, we strongly caution against using it for production code.</p>",,,,,,,
Local coding assistants,Hold,Techniques,TRUE,new,"<p>Organizations remain wary of third-party AI coding assistants, particularly due to concerns about code confidentiality. As a result, many developers are considering using <strong>local coding assistants</strong> â€?AI that runs entirely on their machines â€?eliminating the need to send code to external servers. However, local assistants still lag behind their cloud-based counterparts, which rely on larger, more capable models. Even on high-end developer machines, smaller models remain limited in their capabilities. We've found that they struggle with complex prompts, lack the necessary context window for larger problems and often cannot trigger tool integrations or function calls. These capabilities are especially essential to <a href=""/radar/techniques/software-engineering-agents"">agentic workflows</a>, which is the cutting edge in coding assistance right now.</p>

<p>So while we recommend to proceed with low expectations, there are some capabilities that are valid locally. Some popular IDEs do now embed smaller models into their core features, such as Xcode's predictive code completion and <a href=""https://blog.jetbrains.com/blog/2024/04/04/full-line-code-completion-in-jetbrains-ides-all-you-need-to-know"">JetBrains' full-line code completion</a>. And locally runnable LLMs like <a href=""https://ollama.com/library/qwen2.5-coder"">Qwen Coder</a> are a step forward for local inline suggestions and handling simple coding queries. You can test these capabilities with <a href=""/radar/tools/continue"">Continue</a>, which supports the integration of local models via runtimes like <a href=""/radar/tools/ollama"">Ollama</a>.</p>",,,,,,,
Replacing pair programming with AI,Hold,Techniques,FALSE,stay,"<p>When people talk about coding assistants, the topic of <a href=""https://martinfowler.com/articles/on-pair-programming.html"">pair programming</a> inevitably comes up. Our profession has a love-hate relationship with it: some swear by it, others can't stand it. Coding assistants now raise the question: can a human pair with the AI instead of another human and get the same results for the team? <a href=""/radar/tools/github-copilot"">GitHub Copilot</a> even calls itself ""your AI pair programmer."" While we do think a coding assistant can bring some of the benefits of pair programming, we advise against fully <strong><a href=""https://martinfowler.com/articles/exploring-gen-ai.html#memo-05"">replacing pair programming with AI</a></strong>. Framing coding assistants as pair programmers ignores one of the key benefits of pairing: to make the team, not just the individual contributors, better. Coding assistants can offer benefits for getting unstuck, learning about a new technology, onboarding or making tactical work faster so that we can focus on the strategic design. But they don't help with any of the team collaboration benefits, like keeping the work-in-progress low, reducing handoffs and relearning, making continuous integration possible or improving collective code ownership.</p>",,,,,,,
Reverse ETL,Hold,Techniques,TRUE,new,"<p>We're seeing a worrying proliferation of so-called <strong>Reverse ETL</strong>. Regular ETL jobs have their place in traditional data architectures, where they transfer data from transaction processing systems to a centralized analytics system, such as a data warehouse or data lake. While this architecture has well-documented shortcomings, many of which are addressed by a <a href=""/radar/techniques/data-mesh"">data mesh</a>, it remains common in enterprises. In such an architecture, moving data back from a central analytics system to a transaction system makes sense in certain cases â€?for example, when the central system can aggregate data from multiple sources or as part of a <a href=""/radar/techniques/transitional-architecture"">transitional architecture</a> when migrating toward a data mesh. However, we're seeing a growing trend where product vendors use Reverse ETL as an excuse to move increasing amounts of business logic into a centralized platform â€?their product. This approach exacerbates many of the issues caused by centralized data architectures, and we suggest exercising extreme caution when introducing data flows from a sprawling, central data platform to transaction processing systems.</p>",,,,,,,
GitLab CI/CD,Adopt,Platforms,FALSE,moved in,"<p><strong><a href=""https://docs.gitlab.com/ee/ci/"">GitLab CI/CD</a></strong> has evolved into a fully integrated system within GitLab, covering everything from code integration and testing to deployment and monitoring. It supports complex workflows with features like multi-stage pipelines, caching, parallel execution and auto-scaling runners and is suitable for large-scale projects and complex pipeline needs. We want to highlight its built-in security and compliance tools (such as <a href=""https://about.gitlab.com/topics/devsecops/sast-vs-dast/"">SAST and DAST</a> analysis) which make it well-suited for use cases with high-compliance requirements. It also integrates seamlessly with Kubernetes, supporting cloud-native workflows, and offers real-time logging, test reports and traceability for enhanced observability.</p>",,,,,,,
Trino,Adopt,Platforms,FALSE,moved in,"<p><strong><a href=""https://trino.io/"">Trino</a></strong> is an open-source, distributed SQL query engine designed for interactive analytic queries over big data. Itâ€™s optimized to run both on-premise and cloud environments and supports querying data where it resides, including relational databases and various proprietary datastores via connectors. Trino can also query data stored in file formats like <a href=""https://parquet.apache.org/"">Parquet</a> and open-table formats like <a href=""/radar/platforms/apache-iceberg"">Apache Iceberg</a>. Its built-in query federation capabilities enable data from multiple sources to be queried as a single logical table, making it a great choice for analytic workloads that require aggregating data across diverse sources. Trino is a key part of popular stacks like <a href=""https://aws.amazon.com/athena/"">AWS Athena</a>, Starburst and other proprietary data platforms. Our teams have successfully used it in various use cases, and when it comes to querying data sets across multiple sources for analytics, Trino has been a reliable choice.</p>",,,,,,,
ABsmartly,Trial,Platforms,TRUE,new,"<p><strong><a href=""https://absmartly.com/"">ABsmartly</a></strong> is an advanced A/B testing and experimentation platform designed for rapid, trustworthy decision-making. Its standout feature is the <a href=""https://absmartly.com/gst"">Group Sequential Testing</a> (GST) engine, which accelerates test results by up to 80% compared to traditional A/B testing tools. The platform offers real-time reporting, deep data segmentation and seamless full-stack integration through an API-first approach, supporting experiments across web, mobile, microservices and ML models.</p>

<p>ABsmartly addresses key challenges in scalable, data-driven experimentation by enabling faster iteration and more agile product development. Its zero-lag execution, deep segmentation capabilities and support for multi-platform experiments make it particularly valuable for organizations looking to scale their experimentation culture and prioritize data-backed innovation. By significantly reducing test cycles and automating result analysis, ABsmartly helped us optimize features and user experiences more efficiently than traditional A/B testing platforms.</p>",,,,,,,
Dapr,Trial,Platforms,FALSE,moved in,"<p><strong><a href=""https://dapr.io/"">Dapr</a></strong> has evolved considerably since we last featured it in the Radar. Its many new features include job scheduling, virtual actors as well as more sophisticated retry policies and observability components. Its list of building blocks continues to grow with jobs, cryptography and more. Our teams also note its increasing focus on secure defaults, with support for mTLS and distroless images. All in all, we've been happy with Dapr and are looking forward to future developments.</p>",,,,,,,
Grafana Alloy,Trial,Platforms,TRUE,new,"<p>Formerly known as Grafana Agent, <strong><a href=""https://grafana.com/docs/alloy/latest/"">Grafana Alloy</a></strong> is an open-source <a href=""/radar/languages-and-frameworks/opentelemetry"">OpenTelemetry</a> Collector. Alloy is designed to be an all-in-one telemetry collector for all telemetry data, including logs, metrics and traces. It supports collecting commonly used telemetry data formats such as OpenTelemetry, <a href=""/radar/tools/prometheus"">Prometheus</a> and Datadog. With <a href=""https://grafana.com/docs/loki/latest/send-data/promtail/"">Promtailâ€™s recent deprecation</a>, Alloy is emerging as a go-to choice for telemetry data collection â€?especially for logs â€?if youâ€™re using the Grafana observability stack.</p>",,,,,,,
Grafana Loki,Trial,Platforms,TRUE,new,"<p><strong><a href=""https://grafana.com/docs/loki/"">Grafana Loki</a></strong> is a horizontally scalable and highly available multi-tenant log aggregation system inspired by Prometheus. Loki only indexes metadata about your logs as a set of labels for each log stream. Log data is stored in a block storage solution such as S3, GCS or Azure Blob Storage. The upshot is that Loki promises a reduction in operational complexity and storage costs over competitors. As you'd expect, it integrates tightly with Grafana and <a href=""/radar/languages-and-frameworks/grafana-alloy"">Grafana Alloy</a>, although other collection mechanisms can be used.</p>

<p>Loki 3.0 introduced native <a href=""/radar/languages-and-frameworks/opentelemetry"">OpenTelemetry</a> support, making ingestion and integration with OpenTelemetry systems as simple as configuring an endpoint. It also offers advanced multi-tenancy features, such as tenant isolation via shuffle-sharding, which prevents misbehaving tenants (e.g., heavy queries or outages) from impacting others in a cluster. If you haven't been following developments in the Grafana ecosystem, now is a great time to take a look as it is evolving rapidly.</p>",,,,,,,
Grafana Tempo,Trial,Platforms,TRUE,new,"<p><strong><a href=""https://github.com/grafana/tempo"">Grafana Tempo</a></strong> is a high-scale distributed tracing backend that supports open standards like <a href=""/radar/languages-and-frameworks/opentelemetry"">OpenTelemetry</a>. Designed to be cost-efficient, it relies on object storage for long-term trace retention and enables trace search, <a href=""https://grafana.com/docs/tempo/latest/metrics-generator/span_metrics/"">span-based metric generation</a> and correlation with logs and metrics. By default, Tempo uses a <a href=""https://grafana.com/docs/tempo/latest/operations/schema/"">columnar block format</a> based on <a href=""https://github.com/grafana/tempo/blob/main/docs/design-proposals/2022-04%20Parquet.md"">Apache Parquet</a>, enhancing query performance and enabling downstream tools to access trace data. Queries are executed via <a href=""https://grafana.com/docs/tempo/latest/traceql/"">TraceQL</a> and the <a href=""https://grafana.com/docs/tempo/latest/operations/tempo_cli/"">Tempo CLI</a>. <a href=""/radar/platforms/grafana-alloy"">Grafana Alloy</a> too can be configured to collect and forward traces to Tempo. Our teams self-hosted Tempo in <a href=""/radar/platforms/gke"">GKE</a>, using <a href=""/radar/platforms/minio"">MinIO</a> for object storage, <a href=""/radar/languages-and-frameworks/opentelemetry"">OpenTelemetry</a> collectors and <a href=""https://github.com/grafana/grafana"">Grafana</a> for trace visualization.</p>",,,,,,,
Railway,Trial,Platforms,TRUE,new,"<p><a href=""/radar/platforms/heroku"">Heroku</a> used to be an excellent choice for many developers who wanted to release and deploy their applications quickly. In recent years, weâ€™ve also seen the rise of deployment platforms like <a href=""/radar/platforms/vercel"">Vercel</a>, which are more modern, lightweight and easy to use but designed for front-end applications. A full-stack alternative in this space is <strong><a href=""https://railway.com/"">Railway</a></strong>, a PaaS cloud platform that streamlines everything from GitHub/Docker deployment to production observability.</p>

<p>Railway supports most mainstream programming frameworks, databases as well as containerized deployment. As a long-term hosted platform for an application, you may need to compare the costs of different platforms carefully. At present, our team has had a good experience with Railway's deployment and observability. The operation is smooth and can be well integrated with the <a href=""/radar/techniques/continuous-deployment"">continuous deployment</a> practices we advocate.</p>",,,,,,,
